,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
1,ref-t.2.3.8.9.35-ref-t.2.3.8.9.51,ref-sifre-n.1.4.4-ref-sifre-n.1.4.12,364892,364979,56719,56735,ref-t.2.3.8.9.35,ref-t.2.3.8.9.51,1831,1870,235,243,ref-sifre-n.1.4.4,ref-sifre-n.1.4.12,כל צרוע וכל זב בשעה שטמא נפש חייב זבין ומצורעין חייבין בשעה שאין טמא נפש חייב אין ,כל צרוע וכל זב וכל טמא לנפש שומע אני ,17,9,93,1,0.6219512195121951,0.6428571428571428
2,ref-t.6.5.6.7.87-ref-t.6.5.6.7.91,ref-sifre-n.1.4.19-ref-sifre-n.1.4.23,1390396,1390422,218489,218493,ref-t.6.5.6.7.87,ref-t.6.5.6.7.91,1908,1934,248,252,ref-sifre-n.1.4.19,ref-sifre-n.1.4.23,בדד ישב מחוץ למחנה מושבו ,בדד ישב מחוץ למחנה מושבו ,5,5,807,2,0.0,0.0
5,ref-t.6.11.3.2.8-ref-t.6.11.3.3.5,ref-sifre-n.1.4.53-ref-sifre-n.1.4.68,1529155,1529286,239963,239982,ref-t.6.11.3.2.8,ref-t.6.11.3.3.5,2095,2174,282,297,ref-sifre-n.1.4.53,ref-sifre-n.1.4.68,כל שהיא מטמא את בועלה ומטמא מעת לעת ומטמא בפנים כבחוץ ומטמא באונסין ומטמא באודם מה שאין כן בזב חומר בזב שאין בטמא מת ,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור ,24,16,915,5,0.6153846153846154,0.736842105263158
7,ref-t.6.11.3.5.9-ref-t.6.11.3.5.20,ref-sifre-n.1.4.55-ref-sifre-n.1.4.61,1529768,1529839,240059,240067,ref-t.6.11.3.5.9,ref-t.6.11.3.5.20,2104,2144,284,290,ref-sifre-n.1.4.55,ref-sifre-n.1.4.61,מטמאה את בועלה מה שאין כן במצורעת חומר במצורעת שהמצורעת מטמא' בביאה ,מטמא מצורע מטמא חמור מצורע שמטמא בביאה ,12,7,922,7,0.5147058823529411,0.75
8,ref-t.6.11.5.2.32-ref-t.6.11.5.2.41,ref-sifre-n.1.4.55-ref-sifre-n.1.4.66,1532763,1532824,240560,240569,ref-t.6.11.5.2.32,ref-t.6.11.5.2.41,2104,2164,284,295,ref-sifre-n.1.4.55,ref-sifre-n.1.4.66,מטמאין טומאת משקה זובו ורוקו ומימי רגליו מטמאין טומא' חמורה ,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,10,12,928,8,0.6833333333333333,0.8
10,ref-t.6.8.2.10.20-ref-t.6.8.2.10.28,ref-sifre-n.1.4.55-ref-sifre-n.1.4.78,1466607,1466662,230488,230496,ref-t.6.8.2.10.20,ref-t.6.8.2.10.28,2104,2221,284,307,ref-sifre-n.1.4.55,ref-sifre-n.1.4.78,הטמא טומאה חמורה ואחד המיקר הטובל מטומאה חמורה טמא ,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא ,9,24,877,10,0.7168141592920354,0.8888888888888888
11,ref-t.6.11.3.3.29-ref-t.6.11.3.3.51,ref-sifre-n.1.4.55-ref-sifre-n.1.4.83,1529411,1529532,240003,240023,ref-t.6.11.3.3.29,ref-t.6.11.3.3.51,2104,2242,284,312,ref-sifre-n.1.4.55,ref-sifre-n.1.4.83,זובו ורוקו ומימי רגליו מטמאין טומאה חמורה ומטמא כלי שטף במגע וכלי חרש בהסיט מה שאין כן בטמא מת חומר בטמא מת שטמא ,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא ,23,29,918,11,0.6268656716417911,0.72
12,ref-t.2.3.1.6.15-ref-t.2.3.1.6.27,ref-sifre-n.1.4.55-ref-sifre-n.1.4.86,333401,333470,51888,51900,ref-t.2.3.1.6.15,ref-t.2.3.1.6.27,2104,2256,284,315,ref-sifre-n.1.4.55,ref-sifre-n.1.4.86,שנטמא באב טומאה שניהן טמאין אלא שזה טמא טומאה חמורה וזה טמא טומאה ,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא ,13,32,69,12,0.7210884353741497,0.7894736842105263
14,ref-t.6.8.2.10.3-ref-t.6.8.2.10.22,ref-sifre-n.1.4.55-ref-sifre-n.1.4.86,1466509,1466624,230471,230490,ref-t.6.8.2.10.3,ref-t.6.8.2.10.22,2104,2256,284,315,ref-sifre-n.1.4.55,ref-sifre-n.1.4.86,וטבלו בשניהן אחד טמא טומאה חמורה ואחד טומאה קלה הטובל מטומאה חמורה טמא ומטומאה קלה טהור אחד הטמא טומאה חמורה ,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא ,20,32,876,14,0.6802721088435374,0.9047619047619048
15,ref-t.6.11.3.4.16-ref-t.6.11.3.5.1,ref-sifre-n.1.4.56-ref-sifre-n.1.4.68,1529656,1529718,240043,240051,ref-t.6.11.3.4.16,ref-t.6.11.3.5.1,2109,2174,285,297,ref-sifre-n.1.4.56,ref-sifre-n.1.4.68,במצורע חומר במצורע שהמצורע מטמא בביאה מה שאין כן בזב חומר ,מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור ,11,13,921,15,0.4444444444444444,0.6923076923076923
16,ref-t.6.4.1.1.34-ref-t.6.4.1.1.44,ref-sifre-n.1.4.57-ref-sifre-n.1.4.67,1319596,1319646,207721,207731,ref-t.6.4.1.1.34,ref-t.6.4.1.1.44,2115,2169,286,296,ref-sifre-n.1.4.57,ref-sifre-n.1.4.67,כל הטמא במת טמאה שבעה טמא בזב טמאת ערב כל הטמא ,מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא ,11,11,764,16,0.6346153846153846,0.7692307692307692
17,ref-t.6.1.4.7.7-ref-t.6.1.4.7.21,ref-sifre-n.1.4.57-ref-sifre-n.1.4.71,1253017,1253105,197502,197516,ref-t.6.1.4.7.7,ref-t.6.1.4.7.21,2115,2189,286,300,ref-sifre-n.1.4.57,ref-sifre-n.1.4.71,ומטמא הוא טמא וחבירו טהור בשרץ כולו טמא והעובי שביניהן כולו טמא הוסקו שניהן וניטמא ,מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא ,15,15,717,17,0.6385542168674698,0.8947368421052632
18,ref-t.6.11.3.2.8-ref-t.6.11.3.3.5,ref-sifre-n.1.4.75-ref-sifre-n.1.4.88,1529155,1529286,239963,239982,ref-t.6.11.3.2.8,ref-t.6.11.3.3.5,2203,2265,304,316,ref-sifre-n.1.4.75,ref-sifre-n.1.4.88,כל שהיא מטמא את בועלה ומטמא מעת לעת ומטמא בפנים כבחוץ ומטמא באונסין ומטמא באודם מה שאין כן בזב חומר בזב שאין בטמא מת ,כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם ,24,14,916,18,0.6666666666666666,0.625
19,ref-t.6.11.3.3.33-ref-t.6.11.3.3.51,ref-sifre-n.1.4.78-ref-sifre-n.1.4.84,1529436,1529532,240007,240023,ref-t.6.11.3.3.33,ref-t.6.11.3.3.51,2217,2245,307,313,ref-sifre-n.1.4.78,ref-sifre-n.1.4.84,מטמאין טומאה חמורה ומטמא כלי שטף במגע וכלי חרש בהסיט מה שאין כן בטמא מת חומר בטמא מת שטמא ,מטמא טמא מת מטמא חמור טמא מת ,19,7,920,19,0.6888888888888889,0.7692307692307692
