,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
1,ref-t.1.1.1.1.6-ref-t.1.1.1.1.22,ref-y.01.01.1.00.3-ref-y.01.01.1.00.19,28,121,4,16,ref-t.1.1.1.1.6,ref-t.1.1.1.1.22,10,107,2,14,ref-y.1.1.1..3,ref-y.1.1.1..19,משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי ר' מאיר וחכמים אומ' משעה שהכהנים זכ לוכל ,משעה שהכהנים נכנסין לוכל בתרומתן תני רבי חייא משעה שדרך בני אדם נכנסין לאכול פיתן בלילי שבת ,17,17,2,1,0.6630434782608695,0.6818181818181819
3,ref-t.1.1.1.1.6-ref-t.1.1.1.1.19,ref-y.01.01.1.00.38-ref-y.01.01.1.00.47,28,104,4,13,ref-t.1.1.1.1.6,ref-t.1.1.1.1.19,213,264,33,40,ref-y.1.1.1..38,ref-y.1.1.1..47,משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי ר' מאיר וחכמים אומ' משעה ,משעה שדרך בני אדם נכנסין לאכול פתן בלילי שבת שעה ,14,10,0,3,0.4931506849315068,0.625
4,ref-t.1.1.1.1.24-ref-t.1.1.1.1.41,ref-y.01.01.1.00.181-ref-y.01.01.1.00.203,130,235,18,29,ref-t.1.1.1.1.24,ref-t.1.1.1.1.41,938,1073,145,159,ref-y.1.1.1..181,ref-y.1.1.1..203,וסימן לדבר צאת הכוכבים אע'פ שאין ראיה לדבר זכר לדבר וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,סימן לדבר משיצאו הכוכבים ואף על פי שאין ראיה לדבר זכר לדבר ואנחנו עושים במלאכה וחציים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,18,23,4,4,0.25196850393700787,0.3157894736842105
5,ref-t.5.8.3.7.30-ref-t.5.8.3.7.41,ref-y.01.01.1.00.254-ref-y.01.01.1.00.270,1241543,1241609,195755,195766,ref-t.5.8.3.7.30,ref-t.5.8.3.7.41,1332,1417,204,217,ref-y.1.1.1..254,ref-y.1.1.1..270,שנייה בהיעלם אחת מביא שתי חטאות ואשם בשתי העלמות מביא שלש חטאות ,שנים מביא אשם תלוי שלשה מביא חטאת במוצאי שבת ראה כוכב אחד ועשה מלאכה מביא חטאת שנים ,12,17,8287,5,0.6547619047619048,0.7647058823529411
7,ref-t.5.8.3.8.39-ref-t.5.8.3.8.51,ref-y.01.01.1.00.254-ref-y.01.01.1.00.270,1241804,1241876,195792,195804,ref-t.5.8.3.8.39,ref-t.5.8.3.8.51,1332,1417,204,217,ref-y.1.1.1..254,ref-y.1.1.1..270,שנייה בהיעלם אחד מביא שלש חטאות ואשם ודאי בשני העלמות מביא ארבע חטאות ,שנים מביא אשם תלוי שלשה מביא חטאת במוצאי שבת ראה כוכב אחד ועשה מלאכה מביא חטאת שנים ,13,17,8293,7,0.6428571428571429,0.7058823529411764
8,ref-t.1.1.1.1.52-ref-t.1.1.1.1.69,ref-y.01.01.1.00.2222-ref-y.01.01.1.00.2237,288,377,38,52,ref-t.1.1.1.1.52,ref-t.1.1.1.1.69,11641,11722,1871,1884,ref-y.1.1.1..2222,ref-y.1.1.1..2237,אחת עד שלא עלה עמוד השחר ואחת משעלה עמוד השחר ונמצא יוצא ידי חובתו של יום ושל לילה ,אחת לפני עמוד השחר ואחת לאחר עמוד השחר ונמצא יוצא ידי חובתו של יום ושל לילה ,18,16,5,8,0.1686746987951807,0.33333333333333337
9,ref-t.2.1.12.12.33-ref-t.2.1.12.12.38,ref-y.01.01.1.00.2363-ref-y.01.01.1.00.2368,269444,269475,41954,41959,ref-t.2.1.12.12.33,ref-t.2.1.12.12.38,12354,12384,1975,1980,ref-y.1.1.1..2363,ref-y.1.1.1..2368,רבינו תבטל דבריך בחייך אמ' לנו ,רבי דבריך מבטל בחייך ואמר לן ,6,6,2131,9,0.45161290322580644,0.6666666666666667
10,ref-t.4.7.1.7.46-ref-t.4.7.1.7.66,ref-y.01.01.1.00.2398-ref-y.01.01.1.00.2418,969254,969364,153371,153388,ref-t.4.7.1.7.46,ref-t.4.7.1.7.66,12532,12634,2003,2020,ref-y.1.1.1..2398,ref-y.1.1.1..2418,והגולגולת משני מתים רביעית דם משני מתים רובע עצמות משני מתים אבר מן המת משני מתים אבר מן החי משני אנשים ,והגולגולת מב' מתים רביעית דם מב' מתים ורובע עצמות מב' מתים אבר מן המת מב' מתים אבר מן החי מב' אנשים ,21,21,7154,10,0.15384615384615385,0.15384615384615385
11,ref-t.6.4.4.2.12-ref-t.6.4.4.2.64,ref-y.01.01.1.00.2425-ref-y.01.01.1.00.2476,1326571,1326868,208805,208853,ref-t.6.4.4.2.12,ref-t.6.4.4.2.64,12668,12967,2027,2076,ref-y.1.1.1..2425,ref-y.1.1.1..2476,מעשה שהביאו קופות של עצמות מכפר טביא והניחום באויר בית הכנסת בלוד ונכנס תיאודו רוס הרופא וכל הרופאים עמו אמרו אין כאן שדרה ממת אחד ולא גולגולת ממת אחר אמרו הואיל ויש כאן מטמאין ויש כאן מטהרין נעמוד למניין התחילו מר' עקיבא וטיהר אמרו לו הואיל ואתה הי שהייתה מטמא טיהרתה יהו טהורין ,מעשה שהביאו קופה מליאה עצמות מכפר טבי והניחוה באויר הכנסת בלוד ונכנס תודרוס הרופא ונכנסו כל הרופאים עמו אמר תודרוס הרופא אין כאן שדרה ממת אחד ולא גולגולת ממת אחד אמרו הואיל ויש כאן מטהרין ויש כאן מטמאין נעמוד על המניין התחילו מרבי עקיבה וטיהר אמרו לו הואיל והיית מטמא וטיהרת טהור ,53,52,8470,11,0.22142857142857142,0.30000000000000004
12,ref-t.2.12.2.9.155-ref-t.2.12.2.9.163,ref-y.01.01.1.00.2463-ref-y.01.01.1.00.2476,501663,501714,78235,78243,ref-t.2.12.2.9.155,ref-t.2.12.2.9.163,12886,12967,2064,2076,ref-y.1.1.1..2463,ref-y.1.1.1..2476,עומדין במנין אם רבו המטמאין או רבו המטהרין טיהרו ,נעמוד על המניין התחילו מרבי עקיבה וטיהר אמרו לו הואיל והיית מטמא וטיהרת טהור ,9,14,3748,12,0.6233766233766234,0.7333333333333334
