וידבר,ref-sifre-n.1.1.1
ה׳,ref-sifre-n.1.1.2
אל,ref-sifre-n.1.1.3
משה,ref-sifre-n.1.1.4
לאמר,ref-sifre-n.1.1.5
צו,ref-sifre-n.1.1.6
את,ref-sifre-n.1.1.7
בני,ref-sifre-n.1.1.8
ישראל,ref-sifre-n.1.1.9
וישלחו,ref-sifre-n.1.1.10
מן,ref-sifre-n.1.1.11
המחנה,ref-sifre-n.1.1.12
למה,ref-sifre-n.1.1.13
נאמרה,ref-sifre-n.1.1.14
פרשה,ref-sifre-n.1.1.15
זו,ref-sifre-n.1.1.16
לפי,ref-sifre-n.1.1.17
שהוא,ref-sifre-n.1.1.18
אומר,ref-sifre-n.1.1.19
ואיש,ref-sifre-n.1.1.20
אשר,ref-sifre-n.1.1.21
יטמא,ref-sifre-n.1.1.22
ולא,ref-sifre-n.1.1.23
יתחטא,ref-sifre-n.1.1.24
עונש,ref-sifre-n.1.1.25
שמענו,ref-sifre-n.1.1.26
אזהרה,ref-sifre-n.1.1.27
לא,ref-sifre-n.1.1.28
שמענו,ref-sifre-n.1.1.29
תלמוד,ref-sifre-n.1.1.30
לומר,ref-sifre-n.1.1.31
צו,ref-sifre-n.1.1.32
את,ref-sifre-n.1.1.33
בני,ref-sifre-n.1.1.34
ישראל,ref-sifre-n.1.1.35
וגו׳,ref-sifre-n.1.1.36
ולא,ref-sifre-n.1.1.37
יטמאו,ref-sifre-n.1.1.38
את,ref-sifre-n.1.1.39
מחניהם,ref-sifre-n.1.1.40
הרי,ref-sifre-n.1.1.41
זו,ref-sifre-n.1.1.42
אזהרה,ref-sifre-n.1.1.43
לטמאים,ref-sifre-n.1.1.44
שלא,ref-sifre-n.1.1.45
יכנסו,ref-sifre-n.1.1.46
למקדש,ref-sifre-n.1.1.47
בטומאה,ref-sifre-n.1.1.48
צו,ref-sifre-n.1.2.1
הצווי,ref-sifre-n.1.2.2
מיד,ref-sifre-n.1.2.3
בשעת,ref-sifre-n.1.2.4
מעשה,ref-sifre-n.1.2.5
ולדורות,ref-sifre-n.1.2.6
אתה,ref-sifre-n.1.2.7
אומר,ref-sifre-n.1.2.8
הצווי,ref-sifre-n.1.2.9
מיד,ref-sifre-n.1.2.10
בשעת,ref-sifre-n.1.2.11
מעשה,ref-sifre-n.1.2.12
ולדורות,ref-sifre-n.1.2.13
או,ref-sifre-n.1.2.14
אינו,ref-sifre-n.1.2.15
אלא,ref-sifre-n.1.2.16
לאחר,ref-sifre-n.1.2.17
זמן,ref-sifre-n.1.2.18
תלמוד,ref-sifre-n.1.2.19
לומר,ref-sifre-n.1.2.20
צו,ref-sifre-n.1.2.21
את,ref-sifre-n.1.2.22
בני,ref-sifre-n.1.2.23
ישראל,ref-sifre-n.1.2.24
ויעשו,ref-sifre-n.1.2.25
כן,ref-sifre-n.1.2.26
בני,ref-sifre-n.1.2.27
ישראל,ref-sifre-n.1.2.28
וישלחו,ref-sifre-n.1.2.29
אותם,ref-sifre-n.1.2.30
הא,ref-sifre-n.1.2.31
למדת,ref-sifre-n.1.2.32
שהצווי,ref-sifre-n.1.2.33
מיד,ref-sifre-n.1.2.34
בשעת,ref-sifre-n.1.2.35
מעשה,ref-sifre-n.1.2.36
לדורות,ref-sifre-n.1.2.37
מנין,ref-sifre-n.1.2.38
תלמוד,ref-sifre-n.1.2.39
לומר,ref-sifre-n.1.2.40
צו,ref-sifre-n.1.2.41
את,ref-sifre-n.1.2.42
בני,ref-sifre-n.1.2.43
ישראל,ref-sifre-n.1.2.44
ויקחו,ref-sifre-n.1.2.45
אליך,ref-sifre-n.1.2.46
שמן,ref-sifre-n.1.2.47
זית,ref-sifre-n.1.2.48
