ref-Sifra.1.1,רבי ישמעאל אומ׳ 
ref-Sifra.1.2,בשלש עשרה מדות התורה נדרשת מקל וחומר מגזירה שוה מבנין אב מכתוב אחד מבנין אב משני כתובים מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כולו יצא כל דבר שהיה בכלל ויצא מן הכלל ליטען טען אחר שהוא כענינו יצא להקל ולא להחמיר כל דבר שהיה בכלל ויצא מן הכלל ליטען טען אחר שלא כענינו יצא להקל ולהחמיר כל דבר שהיה בכלל ויצא מן הכלל לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש דבר הלמד מעניינו ודבר הלמד מסופו וכן שני כתובין המכחישין זה את זה עד שיבא הכתוב השלישי ויכריע ביניהן 
ref-Sifra.1.3,מקל וחומר כיצד ויאמר יי׳ אל משה ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר ׳שבעת ימים׳ קל וחומד לשכינה ארבעה עשר יום אלא דיו לבא מן הדין להיות כנדון תסגר מרי׳ שבעת ימים מחוץ למחנה ואחר תאסף 
ref-Sifra.1.4,מגזירה שוה כיצד נאמ׳ בשומר חנם אם לא שלח ידו במלאכת רעהו ונא׳ בשומ׳ שכר אם לא שלח ידו במלאכת רעהו מה בשומר הנם שנאמ׳ בו אם לא שלח ידו פטר את היורשין אף בשומר שכר שנאמ׳ בו אם לא שלח ידו יפטור בו את היורשים 
ref-Sifra.1.5,מבנין אב מכתוב אחד כיצד לא המשכב כהרי המושב ולא המושב כהרי המשכב הצד השוה שבהן שהן כלים עשויין לנוח אדם לבדו וזב מטמא אותו ברובו לטמא אדם במגע וכמשא ולטמא בגדים אף כלים שהן עשויין לנוח אדם לבדו יהא הזב מטמא אותו ברובו לטמא אדם במגע ובמשא ולטמא כלים יצא המרכב שהוא עשוי לסיבלון אחד 
ref-Sifra.1.6,מבנין אב משני כתובי׳ כיצד לא פרשת הנידות כהרי פרשת שלוח טמאים ולא פרשת שלוח טמאים כהרי פרשת הנידות הצד השוה שבהן שהם בצו מיד ולדורו׳ אף כל דבר שהוא בצו יהא מיד ולדורו׳ 
ref-Sifra.1.7,מכלל ופרט כיצד מן הבהמה כלל מן הבקר ומן הצאן פרט ׳כלל ופרט׳ אין בכלל אלא מה שבפרט ח 
ref-Sifra.1.8,מפרט וכלל כיצד כי יתן איש אל רעהו חמור או שור או שה פרט וכל בהמה לשמור כלל ׳פרט וכלל׳ נעשה כלל מוסף על הפרט 
ref-Sifra.1.9,מכלל ופרט וכלל כיצד ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל ׳כלל ופרט וכלל׳ אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ וגדולי קרקע אף אין לי אלא ׳כל דבר׳ שהוא וולד וולדות הארץ וגדולי קרקע יעאו כמהין ופטריות 
ref-Sifra.1.10,מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כיצד קדש לי כל בכור יכול אף נקבה במשמע תל זכר אי ׳זכר׳ יכול אפילו יצאת לפניו תלמוד לומר פטר רחם אי ׳פטר רחם׳ יכול אפילו לאחר יוצא דופן תלמוד לומד בכור זהו כלל הצריך לפרט ופרט שהוא צריך לכלל 
ref-Sifra.1.11,כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כלו יצא כיצד והנפש אשר תאכל בשר מזבח השלמים אשר ליי׳ וטמאתו עליו ונכרתה הנפש ההיא והלא שלמים בכלל כל הקדשים היו דכתיב זאת התורה לעולה ולמנחה לחטאת ולאשם ולמלוא׳ ולזבח השלמים וכשיצאו מן הכלל ללמד לא ללמד על עצמן יצאו אלא ללמד על הכלל כלו יצאו׳ לומ׳ לך מה שלמים מיוחדין קדשי׳ שקדושתן קדושת מזבח׳ אף אין לי אלא כל דבר שקדושתו קדושת מזבח יצאו קדשי בדק הבית 
