ref-Sifra.1.1.1,רבי
ref-Sifra.1.1.2,ישמעאל
ref-Sifra.1.1.3,אומ׳
ref-Sifra.1.2.1,בשלש
ref-Sifra.1.2.2,עשרה
ref-Sifra.1.2.3,מדות
ref-Sifra.1.2.4,התורה
ref-Sifra.1.2.5,נדרשת
ref-Sifra.1.2.6,מקל
ref-Sifra.1.2.7,וחומר
ref-Sifra.1.2.8,מגזירה
ref-Sifra.1.2.9,שוה
ref-Sifra.1.2.10,מבנין
ref-Sifra.1.2.11,אב
ref-Sifra.1.2.12,מכתוב
ref-Sifra.1.2.13,אחד
ref-Sifra.1.2.14,מבנין
ref-Sifra.1.2.15,אב
ref-Sifra.1.2.16,משני
ref-Sifra.1.2.17,כתובים
ref-Sifra.1.2.18,מכלל
ref-Sifra.1.2.19,ופרט
ref-Sifra.1.2.20,מפרט
ref-Sifra.1.2.21,וכלל
ref-Sifra.1.2.22,מכלל
ref-Sifra.1.2.23,ופרט
ref-Sifra.1.2.24,וכלל
ref-Sifra.1.2.25,אי
ref-Sifra.1.2.26,אתה
ref-Sifra.1.2.27,דן
ref-Sifra.1.2.28,אלא
ref-Sifra.1.2.29,כעין
ref-Sifra.1.2.30,הפרט
ref-Sifra.1.2.31,מכלל
ref-Sifra.1.2.32,שהוא
ref-Sifra.1.2.33,צריך
ref-Sifra.1.2.34,לפרט
ref-Sifra.1.2.35,ומפרט
ref-Sifra.1.2.36,שהוא
ref-Sifra.1.2.37,צריך
ref-Sifra.1.2.38,לכלל
ref-Sifra.1.2.39,כל_דבר_שהיה_בכלל_ויצא_מן
ref-Sifra.1.2.45,הכלל
ref-Sifra.1.2.46,ללמד
ref-Sifra.1.2.47,לא
ref-Sifra.1.2.48,ללמד
ref-Sifra.1.2.49,על
ref-Sifra.1.2.50,עצמו
ref-Sifra.1.2.51,יצא
ref-Sifra.1.2.52,אלא
ref-Sifra.1.2.53,ללמד
ref-Sifra.1.2.54,על
ref-Sifra.1.2.55,הכלל
ref-Sifra.1.2.56,כולו
ref-Sifra.1.2.57,יצא
ref-Sifra.1.2.58,כל_דבר_שהיה_בכלל_ויצא_מן
ref-Sifra.1.2.64,הכלל
ref-Sifra.1.2.65,ליטען
ref-Sifra.1.2.66,טען
ref-Sifra.1.2.67,אחר
ref-Sifra.1.2.68,שהוא
ref-Sifra.1.2.69,כענינו
ref-Sifra.1.2.70,יצא
ref-Sifra.1.2.71,להקל
ref-Sifra.1.2.72,ולא
ref-Sifra.1.2.73,להחמיר
ref-Sifra.1.2.74,כל_דבר_שהיה_בכלל_ויצא_מן
ref-Sifra.1.2.80,הכלל
ref-Sifra.1.2.81,ליטען
ref-Sifra.1.2.82,טען
ref-Sifra.1.2.83,אחר
ref-Sifra.1.2.84,שלא
ref-Sifra.1.2.85,כענינו
ref-Sifra.1.2.86,יצא
ref-Sifra.1.2.87,להקל
ref-Sifra.1.2.88,ולהחמיר
ref-Sifra.1.2.89,כל_דבר_שהיה_בכלל_ויצא_מן
ref-Sifra.1.2.95,הכלל
ref-Sifra.1.2.96,לידון
ref-Sifra.1.2.97,בדבר
ref-Sifra.1.2.98,חדש
ref-Sifra.1.2.99,אי
ref-Sifra.1.2.100,אתה
ref-Sifra.1.2.101,יכול
ref-Sifra.1.2.102,להחזירו
ref-Sifra.1.2.103,לכללו
ref-Sifra.1.2.104,עד
ref-Sifra.1.2.105,שיחזירנו
ref-Sifra.1.2.106,הכתוב
ref-Sifra.1.2.107,לכללו
ref-Sifra.1.2.108,בפירוש
ref-Sifra.1.2.109,דבר
ref-Sifra.1.2.110,הלמד
ref-Sifra.1.2.111,מעניינו
ref-Sifra.1.2.112,ודבר
ref-Sifra.1.2.113,הלמד
ref-Sifra.1.2.114,מסופו
ref-Sifra.1.2.115,וכן
ref-Sifra.1.2.116,שני
ref-Sifra.1.2.117,כתובין
ref-Sifra.1.2.118,המכחישין
ref-Sifra.1.2.119,זה_את_זה
ref-Sifra.1.2.122,עד
ref-Sifra.1.2.123,שיבא
ref-Sifra.1.2.124,הכתוב
ref-Sifra.1.2.125,השלישי
ref-Sifra.1.2.126,ויכריע
ref-Sifra.1.2.127,ביניהן
ref-Sifra.1.3.1,מקל
ref-Sifra.1.3.2,וחומר
ref-Sifra.1.3.3,כיצד
ref-Sifra.1.3.4,ויאמר
ref-Sifra.1.3.5,יי׳
ref-Sifra.1.3.6,אל
ref-Sifra.1.3.7,משה
ref-Sifra.1.3.8,ואביה
ref-Sifra.1.3.9,ירק
ref-Sifra.1.3.10,ירק
ref-Sifra.1.3.11,בפניה
ref-Sifra.1.3.12,הלא
ref-Sifra.1.3.13,תכלם
ref-Sifra.1.3.14,שבעת
ref-Sifra.1.3.15,ימים
ref-Sifra.1.3.16,תסגר
ref-Sifra.1.3.17,׳שבעת
ref-Sifra.1.3.18,ימים׳
ref-Sifra.1.3.19,קל
ref-Sifra.1.3.20,וחומד
ref-Sifra.1.3.21,לשכינה
ref-Sifra.1.3.22,ארבעה
ref-Sifra.1.3.23,עשר
ref-Sifra.1.3.24,יום
ref-Sifra.1.3.25,אלא
ref-Sifra.1.3.26,דיו
ref-Sifra.1.3.27,לבא
ref-Sifra.1.3.28,מן
ref-Sifra.1.3.29,הדין
ref-Sifra.1.3.30,להיות
ref-Sifra.1.3.31,כנדון
ref-Sifra.1.3.32,תסגר
ref-Sifra.1.3.33,מרי׳
ref-Sifra.1.3.34,שבעת
ref-Sifra.1.3.35,ימים
ref-Sifra.1.3.36,מחוץ
ref-Sifra.1.3.37,למחנה
ref-Sifra.1.3.38,ואחר
ref-Sifra.1.3.39,תאסף
ref-Sifra.1.4.1,מגזירה
ref-Sifra.1.4.2,שוה
ref-Sifra.1.4.3,כיצד
ref-Sifra.1.4.4,נאמ׳
ref-Sifra.1.4.5,בשומר
ref-Sifra.1.4.6,חנם
ref-Sifra.1.4.7,אם
ref-Sifra.1.4.8,לא
ref-Sifra.1.4.9,שלח
ref-Sifra.1.4.10,ידו
ref-Sifra.1.4.11,במלאכת
ref-Sifra.1.4.12,רעהו
ref-Sifra.1.4.13,ונא׳
ref-Sifra.1.4.14,בשומ׳
ref-Sifra.1.4.15,שכר
ref-Sifra.1.4.16,אם
ref-Sifra.1.4.17,לא
ref-Sifra.1.4.18,שלח
ref-Sifra.1.4.19,ידו
ref-Sifra.1.4.20,במלאכת
ref-Sifra.1.4.21,רעהו
ref-Sifra.1.4.22,מה
ref-Sifra.1.4.23,בשומר
ref-Sifra.1.4.24,הנם
ref-Sifra.1.4.25,שנאמ׳
ref-Sifra.1.4.26,בו
ref-Sifra.1.4.27,אם
ref-Sifra.1.4.28,לא
ref-Sifra.1.4.29,שלח
ref-Sifra.1.4.30,ידו
ref-Sifra.1.4.31,פטר
ref-Sifra.1.4.32,את
ref-Sifra.1.4.33,היורשין
ref-Sifra.1.4.34,אף
ref-Sifra.1.4.35,בשומר
ref-Sifra.1.4.36,שכר
ref-Sifra.1.4.37,שנאמ׳
ref-Sifra.1.4.38,בו
ref-Sifra.1.4.39,אם
ref-Sifra.1.4.40,לא
ref-Sifra.1.4.41,שלח
ref-Sifra.1.4.42,ידו
ref-Sifra.1.4.43,יפטור
ref-Sifra.1.4.44,בו
ref-Sifra.1.4.45,את
ref-Sifra.1.4.46,היורשים
ref-Sifra.1.5.1,מבנין
ref-Sifra.1.5.2,אב
ref-Sifra.1.5.3,מכתוב
ref-Sifra.1.5.4,אחד
ref-Sifra.1.5.5,כיצד
ref-Sifra.1.5.6,לא
ref-Sifra.1.5.7,המשכב
ref-Sifra.1.5.8,כהרי
ref-Sifra.1.5.9,המושב
ref-Sifra.1.5.10,ולא
ref-Sifra.1.5.11,המושב
ref-Sifra.1.5.12,כהרי
ref-Sifra.1.5.13,המשכב
ref-Sifra.1.5.14,הצד_השוה_שבהן
ref-Sifra.1.5.17,שהן
ref-Sifra.1.5.18,כלים
ref-Sifra.1.5.19,עשויין
ref-Sifra.1.5.20,לנוח
ref-Sifra.1.5.21,אדם
ref-Sifra.1.5.22,לבדו
ref-Sifra.1.5.23,וזב
ref-Sifra.1.5.24,מטמא
ref-Sifra.1.5.25,אותו
ref-Sifra.1.5.26,ברובו
ref-Sifra.1.5.27,לטמא
ref-Sifra.1.5.28,אדם
ref-Sifra.1.5.29,במגע
ref-Sifra.1.5.30,וכמשא
ref-Sifra.1.5.31,ולטמא
ref-Sifra.1.5.32,בגדים
ref-Sifra.1.5.33,אף
ref-Sifra.1.5.34,כלים
ref-Sifra.1.5.35,שהן
ref-Sifra.1.5.36,עשויין
ref-Sifra.1.5.37,לנוח
ref-Sifra.1.5.38,אדם
ref-Sifra.1.5.39,לבדו
ref-Sifra.1.5.40,יהא
ref-Sifra.1.5.41,הזב
ref-Sifra.1.5.42,מטמא
ref-Sifra.1.5.43,אותו
